task,C,seed,arrangement,cls,holders,n_holder,cos_mean,cos_top1,cos_top1_other,cos_rand
banking77,77,43,A,62,2,94,0.1368,0.1737,0.1801,0.0333
banking77,77,43,A,63,3,162,0.1588,0.2087,0.196,0.0274
banking77,77,43,A,64,2,157,0.1767,0.2119,0.2136,0.025
banking77,77,43,A,65,4,99,0.1333,0.1657,0.1513,0.0249
banking77,77,43,A,66,4,158,0.1348,0.195,0.1844,0.0298
banking77,77,43,A,67,5,119,0.114,0.1513,0.1676,0.0279
banking77,77,43,A,68,2,86,0.1628,0.1954,0.1974,0.0299
banking77,77,43,A,69,4,92,0.1013,0.1299,0.1275,0.0278
banking77,77,43,A,70,4,105,0.1458,0.1928,0.1771,0.0264
banking77,77,43,A,71,2,115,0.1639,0.1972,0.1804,0.0334
banking77,77,43,A,72,3,35,0.0839,0.1228,0.098,0.0305
banking77,77,43,A,73,4,122,0.1412,0.1804,0.1722,0.0327
banking77,77,43,A,74,3,112,0.1614,0.2012,0.1996,0.026
banking77,77,43,A,75,4,165,0.1781,0.2243,0.207,0.0275
banking77,77,43,A,76,2,156,0.1663,0.1982,0.1932,0.0277
banking77,77,43,B,0,4,141,0.0949,0.1411,0.1234,0.0279
banking77,77,43,B,1,3,103,0.0943,0.134,0.1105,0.0292
banking77,77,43,B,2,4,112,0.1054,0.1653,0.128,0.0254
banking77,77,43,B,3,2,76,0.0795,0.1013,0.0967,0.0217
banking77,77,43,B,4,3,115,0.0912,0.1307,0.1134,0.0299
banking77,77,43,B,5,4,159,0.0782,0.1031,0.0933,0.0335
banking77,77,43,B,6,5,162,0.1018,0.1336,0.1251,0.0264
banking77,77,43,B,7,5,140,0.06,0.0945,0.083,0.029
banking77,77,43,B,8,6,136,0.0852,0.1094,0.1049,0.0267
banking77,77,43,B,9,3,111,0.101,0.1298,0.1242,0.026
banking77,77,43,B,10,2,51,0.0875,0.1057,0.1,0.0272
banking77,77,43,B,11,3,143,0.0963,0.1449,0.1166,0.0305
banking77,77,43,B,12,3,99,0.0757,0.0948,0.0977,0.0265
banking77,77,43,B,13,4,126,0.0877,0.1179,0.1114,0.0299
banking77,77,43,B,14,3,103,0.095,0.1171,0.1166,0.0317
banking77,77,43,B,15,6,161,0.0607,0.0906,0.0897,0.0307
banking77,77,43,B,16,4,150,0.0989,0.1376,0.1199,0.0325
banking77,77,43,B,17,4,153,0.0961,0.1403,0.1204,0.0284
banking77,77,43,B,18,1,52,0.0958,0.1262,0.1186,0.0292
banking77,77,43,B,19,2,160,0.0901,0.1314,0.1133,0.0255
banking77,77,43,B,20,1,144,0.0941,0.1191,0.1174,0.0293
banking77,77,43,B,21,2,110,0.1026,0.14,0.1168,0.0291
banking77,77,43,B,22,3,80,0.0829,0.1079,0.101,0.0258
banking77,77,43,B,23,5,27,0.0437,0.0701,0.0678,0.0252
banking77,77,43,B,24,3,116,0.1046,0.1273,0.1239,0.0296
banking77,77,43,B,25,3,140,0.1041,0.1307,0.1258,0.0301
banking77,77,43,B,26,4,152,0.0788,0.1186,0.0993,0.0267
banking77,77,43,B,27,5,118,0.0869,0.1264,0.111,0.0311
banking77,77,43,B,28,4,161,0.1096,0.1472,0.1255,0.0238
banking77,77,43,B,29,3,110,0.0625,0.0896,0.0869,0.0305
banking77,77,43,B,30,4,114,0.1143,0.1354,0.1348,0.0248
